K,W
300.0,2939.5220988096003
350.0,5445.8275920076
400.0,9290.3414480896
450.0,14881.3306252236
500.0,22681.497676000003
550.0,33207.980747431604
600.0,47032.353580953604
650.0,64780.625512423605
700.0,87133.2414721216
750.0,114825.08198475001
800.0,148645.4631694336
850.0,189438.1367397196
