K,W
300.0,3674.402623512
350.0,6807.2844900095
400.0,11612.926810112
450.0,18601.663281529498
500.0,28351.872095
550.0,41509.9759342895
600.0,58790.441976192
650.0,80975.7818905295
700.0,108916.551840152
750.0,143531.3524809375
800.0,185806.828961792
850.0,236797.6709246495
