K,W
300.0,2204.6415741072
350.0,4084.3706940057004
400.0,6967.756086067201
450.0,11160.997968917702
500.0,17011.123257000003
550.0,24905.985560573703
600.0,35274.2651857152
650.0,48585.469134317704
700.0,65349.93110409121
750.0,86118.81148856251
800.0,111484.09737707522
850.0,142078.60255478972
