K,W
300.0,734.8805247024001
350.0,1361.4568980019
400.0,2322.5853620224
450.0,3720.3326563059
500.0,5670.374419000001
550.0,8301.995186857901
600.0,11758.088395238401
650.0,16195.156378105901
700.0,21783.3103680304
750.0,28706.270496187502
800.0,37161.3657923584
850.0,47359.5341849299
