K,W
300.0,1469.7610494048001
350.0,2722.9137960038
400.0,4645.1707240448
450.0,7440.6653126118
500.0,11340.748838000001
550.0,16603.990373715802
600.0,23516.176790476802
650.0,32390.312756211802
700.0,43566.6207360608
750.0,57412.540992375005
800.0,74322.7315847168
850.0,94719.0683698598
